hero,category,ability_name,hotkey_or_tier,field,value
Falstad,abilities,Hammerang,Q,target,Point target
Falstad,abilities,Hammerang,Q,props,"Area of Effect, Clamping, Piercing Skillshot"
Falstad,abilities,Hammerang,Q,cast,- Initial: 0.0625 + 0.125 seconds - Reactivation: Instant
Falstad,abilities,Hammerang,Q,range,11
Falstad,abilities,Hammerang,Q,aoe,Circle
Falstad,abilities,Hammerang,Q,radius,2.5
Falstad,abilities,Hammerang,Q,hitbox,1.25 x 2.1
Falstad,abilities,Hammerang,Q,missile,10
Falstad,abilities,Hammerang,Q,notes,"Hammerang can hit a unit twice, once on both throw and return. Reactivation area damage does not apply the Slow."
Falstad,abilities,Hammerang,Q,cooldown,10
Falstad,abilities,Hammerang,Q,cost,60
Falstad,abilities,Lightning Rod,W,icon,Lightning_Rod_Icon.png
Falstad,abilities,Lightning Rod,W,description,"Deal 107 to an enemy, and an additional 75 damage per second for 3.75 seconds while close to the target. Deals 100% increased damage to Minions and Mercenaries."
Falstad,abilities,Lightning Rod,W,type,Spell Damage
Falstad,abilities,Lightning Rod,W,scaling,4.00390625%
Falstad,abilities,Lightning Rod,W,affects,Enemies
Falstad,abilities,Lightning Rod,W,target,Unit target
Falstad,abilities,Lightning Rod,W,cast,Instant
Falstad,abilities,Lightning Rod,W,range,- Cast: 7.0 - Active: 10.0
Falstad,abilities,Lightning Rod,W,tickrate,"1.11 per second (x5, incl. initial)"
Falstad,abilities,Lightning Rod,W,notes,"Target is validated every 0.25 seconds. If the target is untargetable or outside the active radius during the check, the Ability ends. Target momentarily leaving the active radius or becoming untargetable does not end the Ability, as long as they are valid for the next check. Only one Lightning Rod may be active at a time. Recasting Lightning Rod on another Hero while it is still active causes only the initial damage to be dealt. Recasting Lightning Rod on the same Hero resets its duration. Damage bonus to Minions and Mercenaries stacks additively with other offensive damage modifiers affecting Lightning Rod 's damage."
Falstad,abilities,Lightning Rod,W,cooldown,12
Falstad,abilities,Lightning Rod,W,cost,60
Falstad,abilities,Barrel Roll,E,icon,Barrel_Roll_Icon.png
Falstad,abilities,Barrel Roll,E,description,Dashes forward and grants a 171 point Shield for 3 seconds.
Falstad,abilities,Barrel Roll,E,type,"Shield, Movement: Launch"
Falstad,abilities,Barrel Roll,E,scaling,4.00390625%
Falstad,abilities,Barrel Roll,E,affects,Self
Falstad,abilities,Barrel Roll,E,target,Point target
Falstad,abilities,Barrel Roll,E,props,Clamping
Falstad,abilities,Barrel Roll,E,cast,Instant
Falstad,abilities,Barrel Roll,E,range,7.0
Falstad,abilities,Barrel Roll,E,speed,24
Falstad,abilities,Barrel Roll,E,cooldown,13
Falstad,abilities,Barrel Roll,E,cost,70
Falstad,abilities,Hinterland Blast,R,icon,Hinterland_Blast_Icon.png
Falstad,abilities,Hinterland Blast,R,description,"After 1 second, deal 475 damage to enemies within a long line. The cooldown is reduced by 30 seconds for every enemy Hero hit.; 120; 80; heroic"
Falstad,abilities,Hinterland Blast,R,type,Spell Damage
Falstad,abilities,Hinterland Blast,R,scaling,4.76074219%
Falstad,abilities,Hinterland Blast,R,affects,Enemies
Falstad,abilities,Hinterland Blast,R,target,Point target
Falstad,abilities,Hinterland Blast,R,props,"Area of Effect, Channeled cast (stationary), Clamping"
Falstad,abilities,Hinterland Blast,R,cast,1.0 (ch) + 0 seconds
Falstad,abilities,Hinterland Blast,R,aoe,Rectangle
Falstad,abilities,Hinterland Blast,R,width,3.0
Falstad,abilities,Hinterland Blast,R,height,32.5
Falstad,abilities,Hinterland Blast,R,notes,Interrupting the channel during its cast puts the ability on a 10 second cooldown.
Falstad,abilities,Mighty Gust,R,icon,Mighty_Gust_Icon.png
Falstad,abilities,Mighty Gust,R,description,"Push enemies away, and Slow their Movement Speed by 40% decaying over 4 seconds.; 60; 70; heroic"
Falstad,abilities,Mighty Gust,R,type,Crowd control
Falstad,abilities,Mighty Gust,R,affects,Enemies
Falstad,abilities,Mighty Gust,R,target,Point target
Falstad,abilities,Mighty Gust,R,props,"Knockback, Piercing Skillshot, Slow"
Falstad,abilities,Mighty Gust,R,cast,0.25 + 0.25 seconds
Falstad,abilities,Mighty Gust,R,range,19.5
Falstad,abilities,Mighty Gust,R,hitbox,8.0 x 3.0
Falstad,abilities,Mighty Gust,R,missile,32
Falstad,abilities,Mighty Gust,R,prop1,Knockback duration
Falstad,abilities,Mighty Gust,R,val1,0.875 seconds
Falstad,abilities,Mighty Gust,R,prop2,Knockback speed
Falstad,abilities,Mighty Gust,R,val2,14
Falstad,abilities,Mighty Gust,R,notes,Always pushes a set distance regardless of the distance between Falstad and the affected enemy.
Falstad,abilities,Flight,Z,icon,Epic_Mount_Icon.png
Falstad,abilities,Flight,Z,description,"Instead of mounting, Falstad can fly a great distance over terrain."
Falstad,abilities,Flight,Z,type,Movement: Launch
Falstad,abilities,Flight,Z,range,75
Falstad,abilities,Flight,Z,props,"Channeled cast (stationary), Unstoppable, Untargetable"
Falstad,abilities,Flight,Z,cast,2.0 (ch) + 0 seconds
Falstad,abilities,Flight,Z,speed,25
Falstad,abilities,Flight,Z,notes,"Cast can be canceled by issuing a 'move' or 'stop' command or be interrupted by enemy abilities that Stun, Silence, Stasis or Knockback. Taking damage does not interrupt the cast. Interrupting the channel in any way puts Flight on a 10 second cooldown. An indicator will display the landing location to both teams on the ground (for the enemy team, it only appears if within vision)."
Falstad,abilities,Flight,Z,cooldown,75
Falstad,talents,Gathering Storm,1,icon,Gathering_Storm_Icon.png
Falstad,talents,Gathering Storm,1,description,"Quest Hit enemy Heroes with Hammerang. Restore 6 Mana for each Hero hit. Upon dying, lose 8 stacks. After hitting 30 Heroes, Hammerang permanently deals 30% more damage. Reward After hitting 80 Heroes, Hammerang permanently deals an additional 50% damage. Reward After hitting 150 Heroes, Hammerang permanently deals an additional 70% damage."
Falstad,talents,Gathering Storm,1,slot,1
Falstad,talents,Gathering Storm,1,type,Offensive damage modifier
Falstad,talents,Gathering Storm,1,affects,Ability
Falstad,talents,Gathering Storm,1,notes,Hammerang 's reactivation also grants stacks and benefits from the damage bonus. Continues to gain stacks after the quest reward is achieved. Per hit and reward damage bonuses stack additively with themselves and other offensive damage modifiers that can affect Hammerang 's damage.
Falstad,talents,Dishonorable Discharge,1,icon,Dishonorable_Discharge_Icon.png
Falstad,talents,Dishonorable Discharge,1,description,"Quest After 3 Lightning Rod strikes, subsequent strikes on enemy Heroes increase its damage. After 20 subsequent strikes, gain 30% damage. Reward After 45 subsequent strikes, gain an additional 75% damage and reduce the cooldown by 2 seconds. Reward After 75 subsequent strikes, Lightning Rod provides 2 additional strikes and Stuns enemy Heroes for 1.25 seconds on its last strike."
Falstad,talents,Dishonorable Discharge,1,slot,2
Falstad,talents,Dishonorable Discharge,1,type,Offensive damage modifier
Falstad,talents,Dishonorable Discharge,1,scaling,-
Falstad,talents,Dishonorable Discharge,1,affects,Ability
Falstad,talents,Dishonorable Discharge,1,notes,Damage bonus affects both initial and periodic damage instances. Damage bonus stacks additively with itself and offensive damage modifiers that can affect Lightning Rod 's damage.
Falstad,talents,Frequent Flyer,1,icon,Frequent_Flyer_Icon.png
Falstad,talents,Frequent Flyer,1,description,"Cooldown 60 Activate Frequent Flyer to gain 25% Attack Speed and Tailwind for 4 seconds. Quest Minion kills grant 1 stack. Hero Takedowns grant 5 stacks. After 60 stacks, gain 20 Attack Damage. Reward After 150 stacks, gain 50 additional Attack Damage. Reward After 300 stacks, gain 125 additional Attack Damage."
Falstad,talents,Frequent Flyer,1,slot,3
Falstad,talents,Frequent Flyer,1,type,Status effect (active) / Bonus damage (quest)
Falstad,talents,Frequent Flyer,1,scaling,-
Falstad,talents,Frequent Flyer,1,affects,Self
Falstad,talents,Frequent Flyer,1,target,No target
Falstad,talents,Frequent Flyer,1,props,Attack Speed
Falstad,talents,Frequent Flyer,1,cast,Instant
Falstad,talents,Frequent Flyer,1,notes,"When Tailwind is activated through this talent, it cannot be interrupted by taking damage. Minions that die in any way within 8.5 radius of Falstad grant quest progress."
Falstad,talents,Static Shield,2,icon,Static_Shield_Icon.png
Falstad,talents,Static Shield,2,description,Gain a Shield equal to 4% of Falstad's maximum Health after every Lightning Rod strike. Lasts 4 seconds and stacks.
Falstad,talents,Static Shield,2,slot,1
Falstad,talents,Static Shield,2,type,Shield
Falstad,talents,Static Shield,2,scaling,-
Falstad,talents,Static Shield,2,affects,Self
Falstad,talents,Static Shield,2,prop1,Maximum Shield
Falstad,talents,Static Shield,2,val1,28% (x7)
Falstad,talents,Static Shield,2,notes,Duration is refreshed on every consecutive lightning strike.
Falstad,talents,Updraft,2,icon,Updraft_Icon.png
Falstad,talents,Updraft,2,description,Increases Barrel Roll's range by 40% and Shield amount by 70% and its Shield now lasts indefinitely.
Falstad,talents,Updraft,2,slot,2
Falstad,talents,Updraft,2,type,Bonus Shield
Falstad,talents,Updraft,2,scaling,-
Falstad,talents,Updraft,2,affects,Ability
Falstad,talents,Updraft,2,prop1,Bonus range
Falstad,talents,Updraft,2,val1,2.8
Falstad,talents,Updraft,2,notes,Shield does not stack with itself.
Falstad,talents,Hammer Gains,2,icon,Hammer_Gains_Icon.png
Falstad,talents,Hammer Gains,2,description,Basic Attacks heal for 20% of the damage dealt to the primary target.
Falstad,talents,Hammer Gains,2,slot,3
Falstad,talents,Hammer Gains,2,type,Healing
Falstad,talents,Hammer Gains,2,scaling,-
Falstad,talents,Hammer Gains,2,affects,Self
Falstad,talents,Hammer Gains,2,props,"Attack Modifier (all), Lifesteal"
Falstad,talents,Secret Weapon,3,icon,Secret_Weapon_Icon.png
Falstad,talents,Secret Weapon,3,description,Increases Hammerang's range by 30% and Basic Attacks deal 75% bonus damage while Hammerang is in flight.
Falstad,talents,Secret Weapon,3,slot,1
Falstad,talents,Secret Weapon,3,type,Offensive damage modifier
Falstad,talents,Secret Weapon,3,affects,Self
Falstad,talents,Secret Weapon,3,prop1,Bonus range
Falstad,talents,Secret Weapon,3,val1,3.0
Falstad,talents,Secret Weapon,3,notes,Stacks additively with other offensive damage modifiers affecting Falstad's Basic Attack damage.
Falstad,talents,BOOMerang,3,icon,BOOMerang_Icon.png
Falstad,talents,BOOMerang,3,description,"Hammerang's explosion deals 100% additional damage, and hitting enemy Heroes reduces their Spell Armor by 15 for 3 seconds."
Falstad,talents,BOOMerang,3,slot,2
Falstad,talents,BOOMerang,3,type,Defensive damage modifier / Offensive damage modifier
Falstad,talents,BOOMerang,3,affects,Enemy Heroes / Ability
Falstad,talents,BOOMerang,3,props,Spell Armor reduction
Falstad,talents,BOOMerang,3,notes,Only Hammerang 's explosion applies the Spell Armor reduction. Damage bonus stacks additively with other offensive damage modifiers that can affect Hammerang 's explosion damage. Does not stack with other negative Spell Armor effects. Other defensive damage modifiers may stack.
Falstad,talents,Thunderstrikes,3,icon,Thunderstrikes_Icon.png
Falstad,talents,Thunderstrikes,3,description,Lightning Rod deals 25% more damage each subsequent strike.
Falstad,talents,Thunderstrikes,3,slot,3
Falstad,talents,Thunderstrikes,3,type,Offensive damage modifier
Falstad,talents,Thunderstrikes,3,affects,Ability
Falstad,talents,Thunderstrikes,3,prop1,Maximum damage bonus
Falstad,talents,Thunderstrikes,3,val1,150% (x6)
Falstad,talents,Thunderstrikes,3,notes,"Damage bonus is immediately reset every time Lightning Rod is cast. Damage bonus is applied 0.5 seconds after the damage is dealt, including the initial damage instance. Damage bonus stacks additively with itself and other offensive damage modifiers affecting Lightning Rod 's damage."
Falstad,talents,Hinterland Blast,4,icon,Hinterland_Blast_Icon.png
Falstad,talents,Hinterland Blast,4,description,"cooldown 120 After 1 second, deal 475 damage to enemies within a long line. The cooldown is reduced by 30 seconds for every enemy Hero hit."
Falstad,talents,Hinterland Blast,4,slot,1
Falstad,talents,Mighty Gust,4,icon,Mighty_Gust_Icon.png
Falstad,talents,Mighty Gust,4,description,"cooldown 60 Push enemies away, and Slow their Movement Speed by 40% decaying over 4 seconds."
Falstad,talents,Mighty Gust,4,slot,2
Falstad,talents,Charged Up,5,icon,Charged_Up_Icon.png
Falstad,talents,Charged Up,5,description,Increases Lightning Rod range by 25%. Hero Takedowns reset Lightning Rod's cooldown.
Falstad,talents,Charged Up,5,slot,1
Falstad,talents,Charged Up,5,prop1,Bonus range
Falstad,talents,Charged Up,5,val1,- Cast: 1.875 - Active: 1.875
Falstad,talents,Flow Rider,5,icon,Flow_Rider_Icon.png
Falstad,talents,Flow Rider,5,description,"While Tailwind is active, Falstad's Basic Abilities recharge 100% faster."
Falstad,talents,Flow Rider,5,slot,2
Falstad,talents,Sustained Winds,5,icon,Sustained_Winds_Icon.png
Falstad,talents,Sustained Winds,5,description,"Basic Attacks against enemy Heroes deal bonus damage equal to 1.5% of the Hero's maximum Health, increased to 2% while Tailwind is active."
Falstad,talents,Sustained Winds,5,slot,3
Falstad,talents,Sustained Winds,5,type,Spell Damage
Falstad,talents,Sustained Winds,5,scaling,-
Falstad,talents,Sustained Winds,5,affects,Enemy Heroes
Falstad,talents,Sustained Winds,5,props,"Attack Modifier (heroes), Percent Damage"
Falstad,talents,Crippling Hammer,6,icon,Crippling_Hammer_Icon.png
Falstad,talents,Crippling Hammer,6,description,"Increases Hammerang's Slow from 25% to 50%, and Hammerang's explosion also Slows."
Falstad,talents,Crippling Hammer,6,slot,1
Falstad,talents,Aerie Gusts,6,icon,Aerie_Gusts_Icon.png
Falstad,talents,Aerie Gusts,6,description,"Reduces the activation time for Tailwind from 5 to 3 seconds, and increases the Movement Speed bonus from 15% to 25%."
Falstad,talents,Aerie Gusts,6,slot,2
Falstad,talents,Afterburner,6,icon,Afterburner_Icon.png
Falstad,talents,Afterburner,6,description,"Barrel Roll increases Movement Speed by 60%, decaying over 3 seconds."
Falstad,talents,Afterburner,6,slot,3
Falstad,talents,Afterburner,6,type,Status effect
Falstad,talents,Afterburner,6,affects,Self
Falstad,talents,Afterburner,6,props,Movement speed
Falstad,talents,Call of the Wildhammer,7,icon,Call_of_the_Wildhammer_Icon.png
Falstad,talents,Call of the Wildhammer,7,description,Hinterland Blast has double the range and deals 25% more damage.
Falstad,talents,Call of the Wildhammer,7,slot,1
Falstad,talents,Call of the Wildhammer,7,type,Offensive damage modifier
Falstad,talents,Call of the Wildhammer,7,affects,Ability
Falstad,talents,Call of the Wildhammer,7,notes,Stacks additively with other offensive damage modifiers affecting Hinterland Blast .
Falstad,talents,Wind Tunnel,7,icon,Wind_Tunnel_Icon.png
Falstad,talents,Wind Tunnel,7,description,Mighty Gust creates a wind tunnel for 4 seconds. Enemies caught in the tunnel will periodically be pushed back.
Falstad,talents,Wind Tunnel,7,slot,2
Falstad,talents,Wind Tunnel,7,type,Crowd control
Falstad,talents,Wind Tunnel,7,affects,Enemies
Falstad,talents,Wind Tunnel,7,props,Knockback
Falstad,talents,Wind Tunnel,7,tickrate,2.0 per second (x8)
Falstad,talents,Wind Tunnel,7,prop1,Knockback duration
Falstad,talents,Wind Tunnel,7,val1,0.125
Falstad,talents,Wind Tunnel,7,prop2,Knockback speed
Falstad,talents,Wind Tunnel,7,val2,4.84
Falstad,talents,Wind Tunnel,7,notes,Wind Tunnel 's pulses do not Slow.
Falstad,talents,Nexus Frenzy,7,icon,Nexus_Frenzy_Icon.png
Falstad,talents,Nexus Frenzy,7,description,Increases Attack Speed by 20% and Attack Range by 1.1.
Falstad,talents,Nexus Frenzy,7,slot,3
Falstad,talents,Epic Mount,7,icon,Epic_Mount_Icon.png
Falstad,talents,Epic Mount,7,description,"Reduce the cooldown of Flight by 50 seconds, reduce the cast time before flying to 0.5 seconds, and increase the travel speed by 50%."
Falstad,talents,Epic Mount,7,slot,4
Falstad,talents,Epic Mount,7,type,Cooldown reduction
Fenix,abilities,Shield Capacitor,TRAIT,icon,Shield_Capacitor_Fenix_Icon.png
Fenix,abilities,Shield Capacitor,TRAIT,description,Fenix has a permanent 760 Shield which regenerates at 10% per second after not taking damage for 5 seconds.; trait
Fenix,abilities,Shield Capacitor,TRAIT,type,Shield
Fenix,abilities,Shield Capacitor,TRAIT,scaling,4.00%
Fenix,abilities,Shield Capacitor,TRAIT,affects,Self
Fenix,abilities,Shield Capacitor,TRAIT,tickrate,1.0 per second
Fenix,abilities,Plasma Cutter,Q,icon,Plasma_Cutter_Icon.png
Fenix,abilities,Plasma Cutter,Q,description,"Create a laser beam at the target point that circles around Fenix twice, dealing 135 damage to enemies hit and Slowing them by 25% for 4 seconds."
Fenix,abilities,Plasma Cutter,Q,type,"Spell Damage, Crowd control"
Fenix,abilities,Plasma Cutter,Q,scaling,4.00%
Fenix,abilities,Plasma Cutter,Q,affects,Enemies
Fenix,abilities,Plasma Cutter,Q,target,Point target
Fenix,abilities,Plasma Cutter,Q,props,"Area of Effect, Clamping, Slow"
Fenix,abilities,Plasma Cutter,Q,cast,Instant
Fenix,abilities,Plasma Cutter,Q,range,- Minimum: 1.5 - Maximum: 6.0
Fenix,abilities,Plasma Cutter,Q,aoe,Circle
Fenix,abilities,Plasma Cutter,Q,radius,0.7
Fenix,abilities,Plasma Cutter,Q,prop1,Cycle duration
Fenix,abilities,Plasma Cutter,Q,val1,1.5 seconds
Fenix,abilities,Plasma Cutter,Q,notes,"Enemies can be hit by Plasma Cutter multiple times within the same cast, but not more often than once every 0.5 seconds. Damage is dealt before any additional effects of Plasma Cutter or associated Talents are applied."
Fenix,abilities,Plasma Cutter,Q,cooldown,12
Fenix,abilities,Weapon Mode: Repeater Cannon,W,icon,Weapon Mode Repeater Cannon Icon.png
Fenix,abilities,Weapon Mode: Repeater Cannon,W,description,"Basic Attack speed increased by 150%. Activate to change to Weapon Mode Phase Bomb, increasing Basic Attack range and damage and causing Basic Attacks to splash."
Fenix,abilities,Weapon Mode: Repeater Cannon,W,type,Status effect
Fenix,abilities,Weapon Mode: Repeater Cannon,W,affects,Self
Fenix,abilities,Weapon Mode: Repeater Cannon,W,target,No target (toggle)
Fenix,abilities,Weapon Mode: Repeater Cannon,W,props,"Attack Modifier, Attack Speed"
Fenix,abilities,Weapon Mode: Repeater Cannon,W,cast,Instant
Fenix,abilities,Weapon Mode: Repeater Cannon,W,notes,"Repeater Cannon's single-target DPS is twice that of Phase Bomb. Switching weapon modes does not dismount nor does it interrupt mounting, hearthing or channeling objectives. Attack Speed stacks additively with other effects that can affect Fenix's Attack Speed."
Fenix,abilities,Weapon Mode: Repeater Cannon,W,cooldown,0.5
Fenix,abilities,Weapon Mode: Phase Bomb,W,icon,Weapon Mode Phase Bomb Icon.png
Fenix,abilities,Weapon Mode: Phase Bomb,W,description,"Basic Attacks have 1.25 increased range, deal 25% more damage, and splash to nearby enemies. Activate to change to Weapon Mode Repeater Cannon, increasing Basic Attack Speed."
Fenix,abilities,Weapon Mode: Phase Bomb,W,type,Bonus damage / Physical Damage
Fenix,abilities,Weapon Mode: Phase Bomb,W,scaling,-
Fenix,abilities,Weapon Mode: Phase Bomb,W,affects,Self / Enemies
Fenix,abilities,Weapon Mode: Phase Bomb,W,target,No target (toggle)
Fenix,abilities,Weapon Mode: Phase Bomb,W,props,"Attack Modifier, Splash"
Fenix,abilities,Weapon Mode: Phase Bomb,W,cast,Instant
Fenix,abilities,Weapon Mode: Phase Bomb,W,prop1,Splash radius
Fenix,abilities,Weapon Mode: Phase Bomb,W,val1,3.0
Fenix,abilities,Weapon Mode: Phase Bomb,W,notes,"Damage bonus is implemented as a direct base damage increase, causing it to stack multiplicatively with offensive damage modifiers. Switching weapon modes does not reset Fenix's auto-attack timer. The auto-attack timer ticks from its current completion percentage according to the weapon mode currently selected. Therefore, by attacking exclusively with Phase Bomb and quickly switching to Repeater Cannon and back just between auto-attacks (ideally staying in Repeater Cannon mode for all of the auto-attack downtime), Fenix can benefit from the bonus range, damage, and splash damage of Phase Bomb as well as the bonus attack speed of Repeater Cannon."
Fenix,abilities,Weapon Mode: Phase Bomb,W,cooldown,0.5
Fenix,abilities,Warp,E,icon,Warp_Icon.png
Fenix,abilities,Warp,E,description,"Warp to a targeted location, phasing out after 0.5 seconds, and arriving 0.75 seconds later."
Fenix,abilities,Warp,E,type,"Movement: Teleport, Status effect"
Fenix,abilities,Warp,E,affects,Self
Fenix,abilities,Warp,E,target,Point target
Fenix,abilities,Warp,E,props,"Channeled cast (stationary) Clamping, Pseudo-Stasis"
Fenix,abilities,Warp,E,cast,0.5 (ch) + 0 seconds
Fenix,abilities,Warp,E,range,9.0
Fenix,abilities,Warp,E,notes,"Interrupting Warp during its cast puts it on full cooldown. While phased out Fenix is put in Stasis. However, he does not get the debuff removal most Stasis effects give."
Fenix,abilities,Warp,E,cooldown,17
Fenix,abilities,Purification Salvo,R,icon,Purification_Salvo_Icon.png
Fenix,abilities,Purification Salvo,R,description,"Channel for 1.5 seconds, sweeping a laser in front of Fenix that locks onto enemy Heroes. Once Channeling finishes, fire 5 missiles at each locked Hero, dealing 79 damage each. Deals 50% increased damage to Slowed targets.; 90; heroic"
Fenix,abilities,Purification Salvo,R,type,Spell Damage
Fenix,abilities,Purification Salvo,R,scaling,4.00%
Fenix,abilities,Purification Salvo,R,affects,Enemy Heroes
Fenix,abilities,Purification Salvo,R,target,Point target
Fenix,abilities,Purification Salvo,R,props,"Area of Effect, Clamping, Mobile channel"
Fenix,abilities,Purification Salvo,R,cast,0.0625 + CH + 0 seconds
Fenix,abilities,Purification Salvo,R,aoe,Radial
Fenix,abilities,Purification Salvo,R,radius,13.25
Fenix,abilities,Purification Salvo,R,arc,180 degrees (1
Fenix,abilities,Purification Salvo,R,prop1,Channel time
Fenix,abilities,Purification Salvo,R,val1,1.5 seconds
Fenix,abilities,Purification Salvo,R,prop2,Missile fire delay
Fenix,abilities,Purification Salvo,R,val2,0.5 seconds
Fenix,abilities,Purification Salvo,R,prop3,Missile interval
Fenix,abilities,Purification Salvo,R,val3,0.125 seconds
Fenix,abilities,Purification Salvo,R,notes,"1) Scan is performed in twenty-four 7.5 degree sections rotating counter-clockwise over 1.5 seconds and only detects visible enemy Heroes. Fenix cannot attack or use his Abilities while channeling. Interrupting the Ability during the channeled targeting period puts it on a 10-second cooldown. Purification Salvo missiles can only be disjointed if the target dies, is removed from the plane (certain Stasis effects) or instantly teleports farther than 60 units from its previous location. When disjointed, the missile expires upon reaching the target's location before the event. Otherwise, the missiles will keep redirecting to the target unit. Damage bonus stacks additively with other offensive damage modifiers that can affect Purification Salvo 's damage."
Fenix,abilities,Planet Cracker,R,icon,Planet_Cracker_Icon.png
Fenix,abilities,Planet Cracker,R,description,"After 0.5 seconds, Channel a powerful beam that spans across the battleground for 4 seconds, dealing 112 damage every 0.25 seconds to non-Structure enemies hit.; 100 / 1.0; heroic"
Fenix,abilities,Planet Cracker,R,type,Spell Damage
Fenix,abilities,Planet Cracker,R,scaling,4.00%
Fenix,abilities,Planet Cracker,R,affects,Non-Structure enemies
Fenix,abilities,Planet Cracker,R,target,Point target
Fenix,abilities,Planet Cracker,R,props,"Area of Effect, Channeled cast (stationary), Stationary channel"
Fenix,abilities,Planet Cracker,R,cast,0.5 (ch) + CH + 0 seconds
Fenix,abilities,Planet Cracker,R,range,Global
Fenix,abilities,Planet Cracker,R,aoe,Rectangle
Fenix,abilities,Planet Cracker,R,tickrate,4.0 per second (x16)
Fenix,abilities,Planet Cracker,R,notes,Interrupting the Ability during its 0.5 second windup channel puts it on a 10 second cooldown. Planet Cracker can be reactivated after 1 second to end its effect early.
Fenix,talents,Advanced Targeting,1,icon,Advanced Targeting Icon.png
Fenix,talents,Advanced Targeting,1,description,"quest Hitting enemy Heroes with Plasma Cutter permanently increases Fenix's Basic Attack damage by 0.5, up to 60. After hitting 30 Heroes, Plasma Cutter circles an additional time."
Fenix,talents,Advanced Targeting,1,slot,1
Fenix,talents,Advanced Targeting,1,type,Bonus damage
Fenix,talents,Advanced Targeting,1,scaling,-
Fenix,talents,Advanced Targeting,1,affects,Self
Fenix,talents,Advanced Targeting,1,notes,Bonus damage from Advanced Targeting does not benefit from Weapon Mode: Phase Bomb 's damage multiplier.
Fenix,talents,Arsenal Synergy,1,icon,Arsenal Synergy Icon.png
Fenix,talents,Arsenal Synergy,1,description,"After hitting enemy Heroes with Basic Attacks 3 times while Repeater Cannon is active, the next Basic Attack with Phase Bomb deals 150% more damage and splashes in a 50% larger area."
Fenix,talents,Arsenal Synergy,1,slot,2
Fenix,talents,Arsenal Synergy,1,type,Offensive damage modifier
Fenix,talents,Arsenal Synergy,1,affects,Self
Fenix,talents,Arsenal Synergy,1,props,Attack Modifier
Fenix,talents,Arsenal Synergy,1,prop1,Bonus splash radius
Fenix,talents,Arsenal Synergy,1,val1,1.5
Fenix,talents,Arsenal Synergy,1,notes,Damage bonus stacks additively with other offensive damage modifiers that can affect Fenix's Basic Attack damage.
Fenix,talents,Mobile Offense,1,icon,Mobile Offense Icon.png
Fenix,talents,Mobile Offense,1,description,"After moving, Fenix's next Basic Attack deals 35% more damage to Heroes."
Fenix,talents,Mobile Offense,1,slot,3
Fenix,talents,Mobile Offense,1,type,Offensive damage modifier
Fenix,talents,Mobile Offense,1,affects,Self
Fenix,talents,Mobile Offense,1,props,Attack Modifier
Fenix,talents,Mobile Offense,1,notes,"Damage bonus stacks additively with other offensive damage modifiers that can affect Fenix's Basic Attack damage. The bonus damage vs Heroes applies to splash damage as well, even if the primary target is non-Heroic."
Fenix,talents,Target Acquired,2,icon,Target Acquired Icon.png
Fenix,talents,Target Acquired,2,description,"Basic Attacks against Slowed Heroes with Repeater Cannon active grant 10% Movement Speed for 4 seconds, up to 40%."
Fenix,talents,Target Acquired,2,slot,1
Fenix,talents,Target Acquired,2,type,Status effect
Fenix,talents,Target Acquired,2,affects,Self
Fenix,talents,Target Acquired,2,props,"Attack Modifier, Movement speed"
Fenix,talents,Target Acquired,2,notes,"Stacks additively with itself, but not with other sources of Movement Speed."
Fenix,talents,Inhibiting Energy,2,icon,Inhibiting Energy Icon.png
Fenix,talents,Inhibiting Energy,2,description,"Every 10 seconds, Fenix's next Basic Attack with Phase Bomb active Slows all enemies hit by 60%, decaying in strength over 1.5 seconds."
Fenix,talents,Inhibiting Energy,2,slot,2
Fenix,talents,Inhibiting Energy,2,type,Crowd control
Fenix,talents,Inhibiting Energy,2,affects,Enemies
Fenix,talents,Inhibiting Energy,2,props,"Attack Modifier,Slow"
Fenix,talents,Inhibiting Energy,2,notes,"Goes on full cooldown if Fenix's Basic Attack misses due to Blinds, but does not go on cooldown if it misses due to the target Evading."
Fenix,talents,Emergency Protocol,2,icon,Emergency Protocol Icon.png
Fenix,talents,Emergency Protocol,2,description,"While Fenix has shields from Shield Capacitor, he gains 10% Movement Speed. This bonus is increased to 15% when Fenix loses shields from Shield Capacitor."
Fenix,talents,Emergency Protocol,2,slot,3
Fenix,talents,Emergency Protocol,2,type,Status effect
Fenix,talents,Emergency Protocol,2,affects,Self
Fenix,talents,Emergency Protocol,2,props,Movement speed
Fenix,talents,Emergency Protocol,2,notes,Does not stack with other sources of Movement Speed.
Fenix,talents,Combat Advantage,3,icon,Combat Advantage Icon.png
Fenix,talents,Combat Advantage,3,description,Plasma Cutter deals 35% more damage to Slowed targets.
Fenix,talents,Combat Advantage,3,slot,1
Fenix,talents,Combat Advantage,3,type,Offensive damage modifier
Fenix,talents,Combat Advantage,3,affects,Ability
Fenix,talents,Combat Advantage,3,notes,Damage bonus stacks additively with other offensive damage modifiers that can affect Plasma Cutter 's damage.
Fenix,talents,Warp Warfare,3,icon,Warp Warfare Icon.png
Fenix,talents,Warp Warfare,3,description,"After arriving with Warp, gain 175% Attack Speed for 4 seconds while in Repeater Cannon mode. Hero Takedowns reset Warp's cooldown."
Fenix,talents,Warp Warfare,3,slot,2
Fenix,talents,Warp Warfare,3,type,Status effect
Fenix,talents,Warp Warfare,3,affects,Self
Fenix,talents,Warp Warfare,3,props,Attack Speed
